Clicks,Impressions,CTR,Weighted Average Position,Counts,Top Modified Keywords
1496,1163796,0.12854486525129832,13.138218553767155,6377,"merchandise,nest,android,shop,apparel,waze,apo,pen,yt,stickers"
13456,256411,5.247824781308134,14.961218902465186,5605,"youtube,com,google,merchandise,logo,www,kids,black,shirt,red"
1095,87380,1.2531471732661936,41.08136415655756,5385,"shirt,mens,t-shirt,women,black,men,white,logo,cool,shop"
593,53512,1.108162655105397,35.70771602631186,2662,"bag,laptop,bags,bottle,stickers,water,backpack,canvas,sticker,bottles"
3388,132093,2.5648596064893674,20.703292377340208,4065,"store,merchandise,shop,clothing,apparel,online,near,buy,play,google"
15112,900001,1.6791092454341718,7.9035237738624735,5156,"google,store,youtube,shop,com,android,logo,www,sign,shirt"
2,846,0.2364066193853428,12.628250591016549,94,"google,order,please,shipping,address,store,available,information,shirt,delivery"
60,31852,0.18837121687806105,13.687055757880195,1013,"non,symbols,numbers,punctuations,ascii"
